Flight No.,Payload mass,Orbit,Customer,Launch outcome,Launch Site,PayLoad,Version Booster,Booster landing,Date,Time
1,0,LEO,SpaceX,"Success
",CCAFS,Dragon Spacecraft Qualification Unit,F9 v1.0B0003.1,Failure,4 June 2010,18:45
2,0,LEO,NASA,Success,CCAFS,Dragon,F9 v1.0B0004.1,Failure,8 December 2010,15:43
3,525 kg,LEO,NASA,Success,CCAFS,Dragon,F9 v1.0B0005.1,"No attempt
",22 May 2012,07:44
4,"4,700 kg",LEO,NASA,"Success
",CCAFS,SpaceX CRS-1,F9 v1.0B0006.1,No attempt,8 October 2012,00:35
5,"4,877 kg",LEO,NASA,"Success
",CCAFS,SpaceX CRS-2,F9 v1.0B0007.1,"No attempt
",1 March 2013,15:10
6,500 kg,Polar orbit,MDA,Success,VAFB,CASSIOPE,F9 v1.1B1003,Uncontrolled,29 September 2013,16:00
7,"3,170 kg",GTO,SES,Success,CCAFS,SES-8,F9 v1.1,No attempt,3 December 2013,22:41
8,"3,325 kg",GTO,Thaicom,Success,CCAFS,Thaicom 6,F9 v1.1,No attempt,6 January 2014,22:06
9,"2,296 kg",LEO,NASA,"Success
",Cape Canaveral,SpaceX CRS-3,F9 v1.1,Controlled,18 April 2014,19:25
10,"1,316 kg",LEO,Orbcomm,Success,Cape Canaveral,Orbcomm-OG2,F9 v1.1,Controlled,14 July 2014,15:15
11,"4,535 kg",GTO,AsiaSat,Success,Cape Canaveral,AsiaSat 8,F9 v1.1,No attempt,5 August 2014,08:00
12,"4,428 kg",GTO,AsiaSat,Success,Cape Canaveral,AsiaSat 6,F9 v1.1,"No attempt
",7 September 2014,05:00
13,"2,216 kg",LEO,NASA,Success,Cape Canaveral,SpaceX CRS-4,F9 v1.1,Uncontrolled,21 September 2014,05:52
14,"2,395 kg",LEO,NASA,Success,Cape Canaveral,SpaceX CRS-5,F9 v1.1,Failure ,10 January 2015,09:47
15,570 kg,HEO,USAF,"Success
",Cape Canaveral,DSCOVR,F9 v1.1,Controlled,11 February 2015,23:03
16,"4,159 kg",GTO,ABS,"Success
",Cape Canaveral,ABS-3A,F9 v1.1,No attempt,2 March 2015,03:50
17,"1,898 kg",LEO,NASA,"Success
",Cape Canaveral,SpaceX CRS-6,F9 v1.1,Failure,14 April 2015,20:10
18,"4,707 kg",GTO,,"Success
",Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,F9 v1.1,No attempt,27 April 2015,23:03
19,"1,952 kg",LEO,NASA,Failure,Cape Canaveral,SpaceX CRS-7,F9 v1.1,Precluded,28 June 2015,14:21
